INSTR_ID,SCT_ID,SCT_SEMESTER
175,13492R,20231
160,13493D,20231
160,13494D,20231
102,13498R,20231
176,13499R,20231
177,13500D,20231
178,13504D,20231
179,13529D,20231
170,13530D,20231
180,13542D,20231
181,13505D,20231
182,13506D,20231
183,13549D,20231
184,13584D,20231
170,13585D,20231
185,13590D,20231
153,13593D,20231
185,13596D,20231
147,13599D,20231
185,13790D,20231
186,17200D,20231
187,17204D,20231
188,17218R,20231
189,17224D,20231
189,17226D,20231
189,17228D,20231
189,17230D,20231
189,17234D,20231
189,17236D,20231
189,17238D,20231
189,17240D,20231
189,17242D,20231
189,17244D,20231
189,17246D,20231
189,17248D,20231
189,17250D,20231
189,17252D,20231
190,17258D,20231
190,17256R,20231
190,17260R,20231
189,17272D,20231
189,17274D,20231
189,17278D,20231
189,17280D,20231
189,17282D,20231
189,17284D,20231
189,17286D,20231
189,17288D,20231
189,17290D,20231
189,17292D,20231
189,17294D,20231
189,17296D,20231
189,17298D,20231
189,17300D,20231
189,17302D,20231
189,17304D,20231
189,17306D,20231
189,17308D,20231
189,17310D,20231
189,17312D,20231
189,17314D,20231
189,17316D,20231
189,17318D,20231
189,17320D,20231
189,17322D,20231
189,17328D,20231
189,17330D,20231
190,17208D,20231
190,17334D,20231
191,17348D,20231
192,17367D,20231
186,17368D,20231
186,17370D,20231
193,17380D,20231
188,17390R,20231
194,17398D,20231
194,17400D,20231
194,17402D,20231
194,17406D,20231
194,17407D,20231
194,17408D,20231
194,17410D,20231
194,17412D,20231
194,17414D,20231
194,17416D,20231
194,17417D,20231
194,17426D,20231
191,17430D,20231
191,17432D,20231
194,17442D,20231
194,17444D,20231
194,17446D,20231
194,17448D,20231
194,17450D,20231
194,17452D,20231
194,17454D,20231
194,17456D,20231
194,17458D,20231
194,17459D,20231
194,17460D,20231
194,17462D,20231
194,17463D,20231
194,17464D,20231
194,17466D,20231
194,17468D,20231
194,17470D,20231
194,17474D,20231
194,17476D,20231
194,17478D,20231
194,17480D,20231
194,17481D,20231
194,17483D,20231
194,17484D,20231
194,17489D,20231
194,17490D,20231
192,17492D,20231
194,17496R,20231
194,17497R,20231
194,17500R,20231
194,17502R,20231
194,17503R,20231
195,17506R,20231
196,17516R,20231
196,17519R,20231
197,17522R,20231
198,17527R,20231
199,17528R,20231
200,17513R,20231
193,17532D,20231
201,17535R,20231
186,17536D,20231
186,17540D,20231
202,17541R,20231
203,17542R,20231
204,17543R,20231
205,17548R,20231
195,17550R,20231
206,17554R,20231
203,17558R,20231
202,17560R,20231
207,17562R,20231
207,17563R,20231
197,17576R,20231
208,17577R,20231
208,17578R,20231
209,17579R,20231
210,17580R,20231
196,17582R,20231
211,17584R,20231
211,17586R,20231
186,17593D,20231
212,19800R,20231
213,19801R,20231
213,19802R,20231
214,19803R,20231
214,19804R,20231
215,19810R,20231
216,19811R,20231
217,19812R,20231
217,19813R,20231
216,19814R,20231
218,19833R,20231
71,19843D,20231
219,19840D,20231
215,19847R,20231
219,19851D,20231
220,22012D,20231
221,22013R,20231
222,22014R,20231
221,22015R,20231
222,22016R,20231
223,22020D,20231
224,22003R,20231
224,22004R,20231
225,22021R,20231
225,22022R,20231
226,22023R,20231
226,22024R,20231
227,22009D,20231
228,22011D,20231
229,22028D,20231
230,22040D,20231
231,22041R,20231
231,22042R,20231
223,22050D,20231
223,22051R,20231
223,22052R,20231
232,22107D,20231
233,22061D,20231
234,22066D,20231
234,22070D,20231
235,22071D,20231
227,22088D,20231
236,63503D,20231
237,63506D,20231
238,63507D,20231
239,63509D,20231
240,63500D,20231
241,63501D,20231
241,63502D,20231
242,63519D,20231
243,63520D,20231
244,63513D,20231
245,63514D,20231
245,63515D,20231
98,63516D,20231
246,63517D,20231
246,63518D,20231
247,63533D,20231
248,63531D,20231
249,63532D,20231
250,63528D,20231
251,63525D,20231
252,63526D,20231
252,63527D,20231
253,63538D,20231
254,63540D,20231
254,63542D,20231
255,63544D,20231
256,63546D,20231
257,63548R,20231
258,63550D,20231
259,63552D,20231
260,63554D,20231
261,63556D,20231
262,63558D,20231
262,63560D,20231
263,63562D,20231
264,63564D,20231
260,63568D,20231
254,63569D,20231
265,63578D,20231
260,63575D,20231
235,22074D,20231
42,22106D,20231
251,22085D,20231
251,22078D,20231
266,22087D,20231
266,22093D,20231
267,22094D,20231
251,22095D,20231
251,22096D,20231
251,22097D,20231
251,22098D,20231
251,22099D,20231
268,71001D,20231
269,71000D,20231
270,71002D,20231
271,25601D,20231
271,25602D,20231
272,25482D,20231
272,25696D,20231
273,25698D,20231
274,25695D,20231
274,25303D,20231
274,25306D,20231
271,25308D,20231
275,25310D,20231
275,25311D,20231
276,25322D,20231
276,25472D,20231
276,25323D,20231
277,25328D,20231
277,25324D,20231
278,25325D,20231
278,25326D,20231
279,25327D,20231
280,25394D,20231
281,25330D,20231
279,25331D,20231
279,25332D,20231
273,25650D,20231
282,25340D,20231
282,25341D,20231
282,25342D,20231
282,25555D,20231
272,25339D,20231
272,25345D,20231
283,25349D,20231
283,25352D,20231
277,25356D,20231
284,25350D,20231
284,25351D,20231
284,25361D,20231
278,25395D,20231
280,25354D,20231
280,25396D,20231
285,25486R,20231
273,25355D,20231
271,25357D,20231
283,25358D,20231
281,25359D,20231
284,25362D,20231
286,25540R,20231
287,25541R,20231
287,25542R,20231
285,25494R,20231
288,25495R,20231
289,25497R,20231
288,25498R,20231
289,25499R,20231
290,25570D,20231
291,25571D,20231
291,25572D,20231
292,25663D,20231
293,25307R,20231
294,25319R,20231
295,25320R,20231
274,25519D,20231
275,25389D,20231
272,25391D,20231
296,25643D,20231
281,25465D,20231
278,25393D,20231
297,25315D,20231
298,25640D,20231
298,25304R,20231
299,25376R,20231
296,25454D,20231
300,25464D,20231
286,25561D,20231
295,25559D,20231
301,25410D,20231
295,25412D,20231
302,25414D,20231
290,25309D,20231
303,25833R,20231
304,25834R,20231
305,25835R,20231
304,25836R,20231
305,25837R,20231
306,25846R,20231
306,25847R,20231
307,25848R,20231
307,25849R,20231
293,25803D,20231
223,25809D,20231
297,25828D,20231
293,25838R,20231
293,25822R,20231
308,26000R,20231
309,26001R,20231
309,26044R,20231
310,26062R,20231
311,26082R,20231
312,26083R,20231
311,26085R,20231
313,26086R,20231
310,26088R,20231
314,26089R,20231
315,26090R,20231
316,26092R,20231
308,26093R,20231
317,26094R,20231
308,26096R,20231
317,26101R,20231
318,26097R,20231
317,26105R,20231
319,26106D,20231
320,26346R,20231
320,26347R,20231
321,26348R,20231
321,26349R,20231
322,26350R,20231
322,26351R,20231
322,26352R,20231
323,26353R,20231
323,26354R,20231
323,26355R,20231
323,26356R,20231
324,26361R,20231
325,26362R,20231
324,26363R,20231
325,26364R,20231
326,26366R,20231
327,26367R,20231
327,26368R,20231
325,26370R,20231
325,26371R,20231
314,26119R,20231
308,26123D,20231
90,26124R,20231
313,26128R,20231
328,26131R,20231
329,26133R,20231
330,26144R,20231
331,26145R,20231
332,26152R,20231
314,26154R,20231
333,26155R,20231
334,26257R,20231
335,26160R,20231
336,26166R,20231
337,26168D,20231
337,26170D,20231
338,26171R,20231
311,26173D,20231
311,26329D,20231
310,26109D,20231
310,26178D,20231
339,26183D,20231
339,26193D,20231
340,26187D,20231
318,26290D,20231
341,26192D,20231
342,26199D,20231
342,26200D,20231
343,26201D,20231
333,26202D,20231
344,26203D,20231
335,26205D,20231
335,26208D,20231
345,26204D,20231
337,26206D,20231
318,26305D,20231
346,26218D,20231
347,26222D,20231
343,26184D,20231
348,26248D,20231
334,26269D,20231
344,26276D,20231
349,26278D,20231
350,26280D,20231
351,26282D,20231
352,26284D,20231
353,26288D,20231
334,26296D,20231
348,26292D,20231
336,26293D,20231
351,26295D,20231
353,26297D,20231
354,26294D,20231
355,32600D,20231
356,32601D,20231
357,32602D,20231
358,32603D,20231
359,32604D,20231
38,32613D,20231
360,32614D,20231
360,32615D,20231
361,32616D,20231
361,32617D,20231
361,32618D,20231
361,32619D,20231
27,32620D,20231
362,32621D,20231
363,32622D,20231
363,32623D,20231
362,32624D,20231
364,32625D,20231
364,32626D,20231
365,32627D,20231
366,32628D,20231
366,32629D,20231
367,32630D,20231
367,32631D,20231
365,32635D,20231
368,32636D,20231
236,32637D,20231
369,32640D,20231
370,32641D,20231
371,32642D,20231
238,32645D,20231
355,32646D,20231
27,32647D,20231
370,32656D,20231
372,32657D,20231
372,32658D,20231
373,32659D,20231
373,32660D,20231
374,32661D,20231
374,32662D,20231
370,32670D,20231
375,32671D,20231
375,32672D,20231
376,32673D,20231
376,32674D,20231
377,32677D,20231
378,32680D,20231
379,32681D,20231
380,32684D,20231
381,32685D,20231
382,32688D,20231
382,32689D,20231
383,32699D,20231
382,32706D,20231
384,32707D,20231
384,32708D,20231
384,32850D,20231
385,32709D,20231
386,32690D,20231
387,32712D,20231
388,32713D,20231
389,32716D,20231
390,32720D,20231
391,32717D,20231
377,32721D,20231
379,32724D,20231
27,32725D,20231
390,32727D,20231
392,32729D,20231
393,32728D,20231
378,32732D,20231
389,32733D,20231
394,32736D,20231
387,32738D,20231
368,32740D,20231
395,32815D,20231
396,32730D,20231
397,32748D,20231
398,32749D,20231
365,32753D,20231
399,32758D,20231
39,32759D,20231
400,32760D,20231
396,32761D,20231
369,32763D,20231
378,32764D,20231
370,32765D,20231
369,32766D,20231
399,32768D,20231
382,32771D,20231
401,32778D,20231
395,32787D,20231
233,32790D,20231
399,32791D,20231
370,32793D,20231
19,32795D,20231
402,32802D,20231
403,32807D,20231
380,32808D,20231
404,32809D,20231
389,32820D,20231
405,32813D,20231
392,32814D,20231
238,32833D,20231
406,32826D,20231
386,32878D,20231
383,32830D,20231
233,32831D,20231
233,32794D,20231
407,33000R,20231
408,33001R,20231
409,33002R,20231
410,33003R,20231
411,33006R,20231
412,33013D,20231
412,33015D,20231
413,33017R,20231
407,33020R,20231
414,33021R,20231
414,33024R,20231
243,33022R,20231
243,33023R,20231
411,33025D,20231
415,33031R,20231
409,33032R,20231
416,33044R,20231
408,33056D,20231
417,33062D,20231
407,33063D,20231
408,33065D,20231
418,33071D,20231
416,33072D,20231
419,33084D,20231
409,33083D,20231
409,33090D,20231
420,38101D,20231
421,34212D,20231
421,34226D,20231
421,34202D,20231
421,34204D,20231
422,34206D,20231
423,34210D,20231
424,34214D,20231
424,34216D,20231
424,34218D,20231
425,34219D,20231
425,34220D,20231
426,34222D,20231
427,34223D,20231
229,34224D,20231
428,34228D,20231
422,34231D,20231
422,34233D,20231
429,34235D,20231
422,34236D,20231
429,34239D,20231
429,34243D,20231
425,34244D,20231
430,34245D,20231
424,34249D,20231
421,34250D,20231
431,34253D,20231
431,34254D,20231
427,34256D,20231
425,34267D,20231
432,34257D,20231
90,00365D,20231
433,34268D,20231
427,34272D,20231
431,34274D,20231
434,34275D,20231
434,34276D,20231
90,00369D,20231
90,00368D,20231
267,34278D,20231
435,34280D,20231
90,00366D,20231
436,34300D,20231
247,34328D,20231
437,34601D,20231
248,34603D,20231
438,34604D,20231
439,34605D,20231
440,34606D,20231
441,34608D,20231
442,34620D,20231
443,24800D,20231
444,24804R,20231
444,24807R,20231
444,24808R,20231
445,25150R,20231
446,25151R,20231
447,25152R,20231
446,25153R,20231
448,25154R,20231
449,25155R,20231
446,25156R,20231
450,25157R,20231
448,25158R,20231
449,25159R,20231
448,25160R,20231
450,25161R,20231
449,25163R,20231
447,25164R,20231
450,25165R,20231
447,25167R,20231
451,24872R,20231
452,24875R,20231
453,24876R,20231
453,24877R,20231
453,24878R,20231
452,24879R,20231
452,24882R,20231
454,24900R,20231
455,24904R,20231
456,24906R,20231
457,24908R,20231
455,24910R,20231
457,24912R,20231
455,24913R,20231
458,24914R,20231
459,24915R,20231
456,24916R,20231
460,24918D,20231
458,24919R,20231
459,24921R,20231
456,24923R,20231
460,24925R,20231
459,24927R,20231
457,24929R,20231
458,24957R,20231
460,24958R,20231
461,24930R,20231
462,24931R,20231
463,24936R,20231
464,24937R,20231
464,24938R,20231
462,24939R,20231
462,24941R,20231
463,24943R,20231
464,24944R,20231
463,24946R,20231
243,24855R,20231
465,24856R,20231
466,24857R,20231
467,24858D,20231
467,24859R,20231
468,24860R,20231
469,24861R,20231
468,24862R,20231
470,24863R,20231
469,24864R,20231
467,24865R,20231
468,24866R,20231
466,24867R,20231
469,24868R,20231
465,24869R,20231
466,24870R,20231
470,24871R,20231
470,24885R,20231
465,24886R,20231
454,24917D,20231
451,24920R,20231
471,24922R,20231
471,24924R,20231
472,24987R,20231
473,24988R,20231
474,24973R,20231
474,24979R,20231
410,25005D,20231
475,25008D,20231
476,24940D,20231
476,24903R,20231
476,24942D,20231
477,24996R,20231
478,25003R,20231
472,24982R,20231
479,25006R,20231
454,25100D,20231
477,25001R,20231
478,25108R,20231
454,25109R,20231
480,25002R,20231
454,25112D,20231
481,36003D,20231
482,36006D,20231
481,36009R,20231
481,36012R,20231
483,36018R,20231
483,36020R,20231
483,36021R,20231
482,36030D,20231
484,34902D,20231
485,34906D,20231
485,34907D,20231
486,34908D,20231
486,34909D,20231
487,34910D,20231
487,34911D,20231
488,34912D,20231
489,34913D,20231
489,34914D,20231
490,34929D,20231
490,34930D,20231
491,34932D,20231
491,34933D,20231
492,34915D,20231
493,34919D,20231
493,34924D,20231
488,34918D,20231
494,34920D,20231
488,34923D,20231
495,34947D,20231
488,34950D,20231
488,34967D,20231
488,34968D,20231
496,34976D,20231
497,34988D,20231
498,19951R,20231
212,19953R,20231
499,19960D,20231
500,36705R,20231
500,36701D,20231
500,36703D,20231
501,37008D,20231
502,37009R,20231
502,37010R,20231
503,37011R,20231
503,37012R,20231
504,36960D,20231
302,36950D,20231
505,36953R,20231
505,36954R,20231
506,36945R,20231
507,36946R,20231
507,36947R,20231
508,37000D,20231
509,37001D,20231
45,37028D,20231
45,37029R,20231
45,37031R,20231
45,37032R,20231
45,37034R,20231
45,37035R,20231
45,37043R,20231
510,36991D,20231
511,36993R,20231
511,36994R,20231
512,36995R,20231
512,36997R,20231
513,37015D,20231
514,37016R,20231
514,37017R,20231
515,37058D,20231
501,37064D,20231
509,37068D,20231
516,37223R,20231
517,37072D,20231
518,37073D,20231
519,37065D,20231
520,37063D,20231
513,37090D,20231
508,37095D,20231
521,37094D,20231
516,37100D,20231
302,37104D,20231
522,37143D,20231
249,37193D,20231
506,37108D,20231
523,37119D,20231
504,37163D,20231
524,37159D,20231
522,37230D,20231
523,37151D,20231
525,37235D,20231
240,37132D,20231
525,37264D,20231
510,37279D,20231
522,37275D,20231
518,37220D,20231
526,37255D,20231
522,37294D,20231
527,38511R,20231
528,38515R,20231
529,38517R,20231
529,38518R,20231
528,38528R,20231
530,38400R,20231
531,38401R,20231
531,38402R,20231
531,38403R,20231
532,38404R,20231
532,38405R,20231
531,38406R,20231
438,38411R,20231
438,38420R,20231
533,38412D,20231
534,38413R,20231
534,38414R,20231
532,38415R,20231
530,38423R,20231
530,38424R,20231
531,38425R,20231
530,38426R,20231
533,38417R,20231
535,38434D,20231
531,38435R,20231
529,38436R,20231
534,38437R,20231
531,38440R,20231
534,38441R,20231
529,38442R,20231
536,38531R,20231
537,38451R,20231
538,38457D,20231
538,38458D,20231
538,38459D,20231
538,38460D,20231
538,38510D,20231
535,38461R,20231
534,38462R,20231
534,38463R,20231
532,38464R,20231
532,38465R,20231
532,38466R,20231
530,38469R,20231
529,38471R,20231
527,38535R,20231
533,38474R,20231
532,38475R,20231
539,38477D,20231
539,38478R,20231
540,38486D,20231
535,38488D,20231
529,38489R,20231
534,38490R,20231
532,38493R,20231
534,38491R,20231
532,38492D,20231
529,38495D,20231
529,38509D,20231
541,38494D,20231
542,38496D,20231
533,38504R,20231
543,37710R,20231
544,37711R,20231
545,37712R,20231
544,37713R,20231
545,37714R,20231
546,37720R,20231
547,37721R,20231
547,37722R,20231
548,37723R,20231
549,37724R,20231
548,37725R,20231
549,37727R,20231
550,37733R,20231
551,37736R,20231
551,37737R,20231
552,37740R,20231
553,37742R,20231
553,37743R,20231
554,37747R,20231
555,37748R,20231
555,37751R,20231
556,37752R,20231
557,37763R,20231
558,37790R,20231
559,37803R,20231
420,37810R,20231
416,37813R,20231
560,37825R,20231
561,37827R,20231
341,37828R,20231
562,37832R,20231
546,37843R,20231
563,37845R,20231
558,37848R,20231
543,37857R,20231
564,37869R,20231
565,37878R,20231
566,37885R,20231
556,37898R,20231
563,37904R,20231
90,00375R,20231
567,38096D,20231
561,38098D,20231
550,37915D,20231
554,37929D,20231
561,37927D,20231
566,37932D,20231
557,37933D,20231
560,37921D,20231
567,37922D,20231
568,37930D,20231
569,37962D,20231
569,37963D,20231
570,41508R,20231
570,41524R,20231
570,41542R,20231
571,34402D,20231
572,34403D,20231
572,34404D,20231
571,34405D,20231
573,34412D,20231
573,34413D,20231
573,34414D,20231
574,34456D,20231
574,34423D,20231
575,34424D,20231
575,34426D,20231
575,34428D,20231
571,34457D,20231
576,34435D,20231
576,34442D,20231
576,34475D,20231
500,38200R,20231
577,38201R,20231
578,38202R,20231
577,38203R,20231
578,38204R,20231
500,38260R,20231
579,38210R,20231
500,38212R,20231
500,38206D,20231
580,38207R,20231
581,38208R,20231
581,38209R,20231
580,38215R,20231
500,38261R,20231
500,38222R,20231
500,38225R,20231
500,38250R,20231
500,38220R,20231
500,38219D,20231
500,38221R,20231
582,20000R,20231
583,20001R,20231
584,20002R,20231
218,20010R,20231
585,20011R,20231
586,38801R,20231
587,38812D,20231
587,38837R,20231
588,38818D,20231
589,38862R,20231
590,38855R,20231
591,38873D,20231
587,38881D,20231
592,38883D,20231
590,38917D,20231
593,38919D,20231
594,38953D,20231
591,38957D,20231
592,38961D,20231
592,38965D,20231
595,38872D,20231
591,38973D,20231
596,39404D,20231
597,39985D,20231
597,39989D,20231
598,39410D,20231
599,39434D,20231
599,39437D,20231
600,39440D,20231
596,39443D,20231
599,39446D,20231
600,39450D,20231
596,39453D,20231
601,39461D,20231
597,39464D,20231
602,39468D,20231
602,39472D,20231
603,39476D,20231
604,39480D,20231
604,39484D,20231
603,39487D,20231
605,39505D,20231
606,39523D,20231
606,39530D,20231
598,39534D,20231
607,39550D,20231
608,39554D,20231
598,39557D,20231
609,39572D,20231
610,39575D,20231
609,39579D,20231
611,39583D,20231
610,39587D,20231
611,39560D,20231
612,39564D,20231
613,39595D,20231
613,39598D,20231
614,39601D,20231
615,39605D,20231
615,39609D,20231
616,39613D,20231
617,39568D,20231
608,39639D,20231
604,39620D,20231
618,39623D,20231
619,39975D,20231
620,39625D,20231
605,39628D,20231
621,39981D,20231
620,39992D,20231
622,39631D,20231
623,39635D,20231
607,39641D,20231
602,39644D,20231
624,39649D,20231
625,39647D,20231
626,39655D,20231
627,39665D,20231
602,39669D,20231
603,39670D,20231
628,39675D,20231
629,39682D,20231
630,39687D,20231
631,39692R,20231
632,39698R,20231
618,39708R,20231
629,39716R,20231
633,39724R,20231
610,39726R,20231
617,39734R,20231
631,39740R,20231
634,39741R,20231
635,39757R,20231
636,39756R,20231
619,39760R,20231
637,39766R,20231
638,39769R,20231
639,39790R,20231
640,39795R,20231
630,39834D,20231
634,39835D,20231
630,39941D,20231
641,39943R,20231
642,39945R,20231
643,39944R,20231
612,39946R,20231
623,39948R,20231
630,39960D,20231
644,42288D,20231
644,42289D,20231
90,42290D,20231
308,42207R,20231
645,42210R,20231
646,42211R,20231
647,42212R,20231
533,42213R,20231
648,42217R,20231
649,42222R,20231
650,42225R,20231
651,42291R,20231
652,42235D,20231
653,42236D,20231
654,41550R,20231
564,41519R,20231
655,41535R,20231
656,41558R,20231
120,47600D,20231
657,47643D,20231
657,47644D,20231
658,47655D,20231
659,47659D,20231
660,47660D,20231
661,48304D,20231
179,48312D,20231
662,49700R,20231
662,49701R,20231
662,49702R,20231
663,49703R,20231
663,49704D,20231
664,49705R,20231
664,49706R,20231
663,49707R,20231
664,49708R,20231
664,49709R,20231
663,49710D,20231
663,49711D,20231
664,49712R,20231
663,49713D,20231
664,49908R,20231
664,49910R,20231
665,49716R,20231
666,49717R,20231
665,49718R,20231
665,49719R,20231
665,49720R,20231
665,49721R,20231
665,49722R,20231
666,49723R,20231
667,49921R,20231
667,49920R,20231
666,49923R,20231
664,49728R,20231
664,49729R,20231
668,49731R,20231
663,49732R,20231
664,49734R,20231
669,49737R,20231
669,49739R,20231
669,49740R,20231
669,49742R,20231
670,49744R,20231
670,49746R,20231
669,49950D,20231
669,49951D,20231
671,49755D,20231
671,50020R,20231
671,50021R,20231
671,50023R,20231
672,50025R,20231
673,50026R,20231
674,50027R,20231
674,50030R,20231
675,50031R,20231
674,50032R,20231
673,50033R,20231
672,50034R,20231
674,50035R,20231
675,50036R,20231
676,50037R,20231
672,49760R,20231
677,49761R,20231
672,49762R,20231
677,49763R,20231
678,49764R,20231
677,49765R,20231
677,49766R,20231
678,49767D,20231
677,49768R,20231
668,49769R,20231
668,49770R,20231
668,49771R,20231
668,49772R,20231
668,49773R,20231
663,49965R,20231
679,49967D,20231
