INSTR_ID,SCT_ID,SCT_SEMESTER
82,11840R,20231
83,11841R,20231
83,11842R,20231
84,11863R,20231
85,11864R,20231
85,11865R,20231
78,11883D,20231
86,11908D,20231
87,11924R,20231
88,11953D,20231
86,11966R,20231
75,11971R,20231
89,11972R,20231
89,11973R,20231
86,11988D,20231
87,11995D,20231
90,00371R,20231
91,12025D,20231
92,12040D,20231
86,12042D,20231
86,12043D,20231
78,12045D,20231
86,12047D,20231
86,12048D,20231
90,00372R,20231
91,12069D,20231
93,12087D,20231
94,12094D,20231
92,12101D,20231
95,50800R,20231
96,50810R,20231
97,50820D,20231
98,50830R,20231
99,50844R,20231
99,50855D,20231
100,13000R,20231
101,13102R,20231
101,13103R,20231
101,13105R,20231
102,13200R,20231
103,13201R,20231
104,13202R,20231
104,13203R,20231
103,13204R,20231
105,13108D,20231
105,13109D,20231
106,13001R,20231
107,13002R,20231
108,13428R,20231
107,13429R,20231
108,13437R,20231
108,13438R,20231
107,13439R,20231
109,13115R,20231
110,13116R,20231
111,13118R,20231
110,13119R,20231
111,13122R,20231
110,13123R,20231
111,13124R,20231
112,13003R,20231
113,13004R,20231
114,13005R,20231
115,13006R,20231
114,13008R,20231
115,13010R,20231
113,13027R,20231
116,13007R,20231
117,13215D,20231
117,13217D,20231
102,13400R,20231
118,13401R,20231
118,13402R,20231
118,13403R,20231
119,13009R,20231
120,13199R,20231
121,13011R,20231
121,13012R,20231
122,13022R,20231
122,13028R,20231
123,13140R,20231
124,13141R,20231
125,13142R,20231
126,13143D,20231
127,13144R,20231
128,13146R,20231
124,13147R,20231
129,13148R,20231
116,13149R,20231
130,13150R,20231
131,13151R,20231
132,13152R,20231
130,13153R,20231
126,13155R,20231
133,13156R,20231
134,13157R,20231
134,13158R,20231
133,13159R,20231
127,13160R,20231
116,13161R,20231
130,13162R,20231
131,13163R,20231
135,13164R,20231
130,13165R,20231
136,13168R,20231
125,13169R,20231
137,13170R,20231
137,13171R,20231
123,13172R,20231
138,13173R,20231
128,13174R,20231
129,13175R,20231
136,13176R,20231
135,13177R,20231
138,13178R,20231
132,13179R,20231
139,13013D,20231
140,13191R,20231
105,13192R,20231
141,13193R,20231
141,13194R,20231
140,13195R,20231
122,13014R,20231
142,13251R,20231
142,13253R,20231
142,13257R,20231
105,13016D,20231
143,13017R,20231
144,13272D,20231
144,13273D,20231
119,13018R,20231
145,13281R,20231
146,13284R,20231
145,13286R,20231
146,13289R,20231
116,13522R,20231
116,13523R,20231
147,13034R,20231
72,13326R,20231
72,13328R,20231
109,13021R,20231
109,13023R,20231
109,13024R,20231
148,13310R,20231
148,13313R,20231
149,13317R,20231
149,13319R,20231
150,13321R,20231
150,13329R,20231
151,13363R,20231
152,13364R,20231
153,13372R,20231
154,13373R,20231
139,13407R,20231
155,13413R,20231
156,13415R,20231
156,13416R,20231
157,13417R,20231
155,13418R,20231
157,13419R,20231
158,13408R,20231
159,13030R,20231
160,13414D,20231
161,13423D,20231
162,13424R,20231
163,13427R,20231
164,13435R,20231
165,13436R,20231
102,13445D,20231
102,13446R,20231
166,13457D,20231
167,13458R,20231
168,13463D,20231
169,13464D,20231
170,13025R,20231
171,13354D,20231
171,13355R,20231
172,13483R,20231
173,13485R,20231
105,13490D,20231
174,13491D,20231
