SCT_ID,SCH_ID,SCH_DAY,SCH_STTIME,SCH_ENTIME
10106R,1,MON,14:00,15:20
10106R,2,WED,14:00,15:20
10107R,3,TUE,14:00,15:20
10107R,4,THU,14:00,15:20
10111R,5,TUE,23:00,12:20
10111R,6,THU,23:00,12:20
10113R,7,TUE,12:30,13:50
10113R,8,THU,12:30,13:50
10114R,9,MON,14:00,15:20
10114R,10,WED,14:00,15:20
10116R,11,MON,12:30,13:50
10116R,12,WED,12:30,13:50
10119R,13,MON,12:00,13:50
10119R,14,WED,12:00,13:50
10122R,15,TUE,23:00,12:20
10122R,16,THU,23:00,12:20
10123R,17,TUE,12:30,13:50
10123R,18,THU,12:30,13:50
10127R,19,TUE,17:00,18:20
10127R,20,THU,17:00,18:20
10131R,21,TUE,9:30,10:50
10131R,22,THU,9:30,10:50
10133R,23,TUE,23:00,12:20
10133R,24,THU,23:00,12:20
10134R,25,TUE,12:30,13:50
10134R,26,THU,12:30,13:50
10137R,27,MON,15:30,16:50
10137R,28,WED,15:30,16:50
10144R,29,TUE,12:30,13:50
10144R,30,THU,12:30,13:50
10147R,31,MON,12:00,13:50
10147R,32,WED,12:00,13:50
10150R,33,TUE,15:30,16:50
10150R,34,THU,15:30,16:50
10152D,35,MON,10:00,11:50
10152D,36,WED,10:00,11:50
10153D,37,TUE,10:00,11:50
10153D,38,THU,10:00,11:50
10155D,39,TUE,10:00,11:50
10155D,40,THU,10:00,11:50
10157D,41,MON,12:00,13:50
10157D,42,WED,12:00,13:50
10159D,43,FRI,8:00,9:50
10160D,44,FRI,14:00,15:50
10161D,45,FRI,16:00,17:50
10162D,46,FRI,16:00,17:50
10163D,47,FRI,16:00,17:50
10164D,48,MON,15:30,16:50
10164D,49,WED,15:30,16:50
10165D,50,TUE,12:30,13:50
10165D,51,THU,12:30,13:50
10166D,52,TUE,17:00,18:20
10166D,53,THU,17:00,18:20
10170D,54,FRI,14:00,16:50
10172D,55,TUE,15:30,16:50
10172D,56,THU,15:30,16:50
10173D,57,MON,16:00,17:20
10173D,58,WED,16:00,17:20
10310D,59,TUE,9:30,10:50
10310D,60,THU,9:30,10:50
10311R,61,FRI,10:00,10:50
10312R,62,FRI,11:00,11:50
10313R,63,TUE,12:00,12:50
10314R,64,THU,12:00,12:50
10315R,65,MON,13:00,13:50
10316R,66,WED,13:00,13:50
10320D,67,TUE,23:00,12:20
10320D,68,THU,23:00,12:20
10323D,69,WED,10:00,10:50
10324D,70,MON,10:00,10:50
10325D,71,WED,13:00,13:50
10327D,72,MON,13:00,13:50
10329D,73,TUE,9:30,10:50
10329D,74,THU,9:30,10:50
10338D,75,TUE,23:00,12:20
10338D,76,THU,23:00,12:20
10339R,77,WED,10:00,10:50
10340R,78,FRI,12:00,12:50
10341R,79,WED,11:00,11:50
10342R,80,WED,13:00,13:50
10343R,81,FRI,13:00,13:50
10344R,82,FRI,11:00,11:50
10347D,83,TUE,12:30,13:50
10347D,84,THU,12:30,13:50
10348R,85,WED,12:00,12:50
10349R,86,FRI,12:00,12:50
10359D,87,MON,10:00,11:50
10359D,88,WED,10:00,11:50
10360R,89,TUE,12:30,13:50
10360R,90,THU,12:30,13:50
10364R,91,FRI,11:00,11:50
10365R,92,FRI,13:00,13:50
10361D,93,TUE,14:00,15:20
10361D,94,THU,14:00,15:20
10300D,95,MON,14:00,15:20
10300D,96,WED,14:00,15:20
10301R,97,FRI,11:00,11:50
10302R,98,FRI,13:00,13:50
10303R,99,FRI,10:00,10:50
10304R,100,FRI,11:00,11:50
10371D,101,TUE,23:00,12:20
10371D,102,THU,23:00,12:20
10372D,103,TUE,9:30,10:50
10372D,104,THU,9:30,10:50
10373R,105,FRI,10:00,10:50
10375R,106,FRI,11:00,11:50
10376R,107,WED,12:00,12:50
10377R,108,MON,12:00,12:50
10378R,109,MON,13:00,13:50
10380R,110,WED,13:00,13:50
10390D,111,MON,12:00,13:50
10390D,112,WED,12:00,13:50
10395R,113,WED,16:00,16:50
10396R,114,WED,15:00,15:50
10408D,115,MON,14:00,15:50
10408D,116,WED,14:00,15:50
10409D,117,WED,13:00,13:50
10410D,118,THU,11:00,11:50
10413D,119,TUE,11:00,11:50
10415D,120,MON,13:00,13:50
10831D,121,WED,14:00,16:50
10421D,122,TUE,9:30,10:50
10421D,123,THU,9:30,10:50
10423D,124,TUE,23:00,12:20
10423D,125,THU,23:00,12:20
10425R,126,FRI,10:00,10:50
10427R,127,FRI,11:00,11:50
10416D,128,TUE,23:00,12:20
10416D,129,THU,23:00,12:20
10317R,130,MON,17:00,18:20
10317R,131,WED,17:00,18:20
10424D,132,TUE,14:00,16:50
10426D,133,MON,14:00,16:50
10428D,134,TUE,23:00,12:20
10428D,135,THU,23:00,12:20
10446R,136,MON,17:00,18:20
10446R,137,WED,17:00,18:20
10434D,138,MON,17:00,18:20
10434D,139,WED,17:00,18:20
10433D,140,TUE,12:30,13:50
32745D,141,TUE,17:00,18:20
32745D,142,THU,17:00,18:20
10744D,143,MON,14:00,16:50
10437D,144,TUE,14:00,15:20
10437D,145,THU,14:00,15:20
10439D,146,TUE,14:00,16:50
10441D,147,,,
10442D,148,,,
10451R,149,MON,14:00,16:50
10472R,150,MON,17:00,19:50
10478D,151,,,
10480D,152,TUE,14:00,16:50
10486D,153,TUE,14:00,16:50
10492D,154,WED,14:00,16:50
10493D,155,,,
10495D,156,,,
10496D,157,,,
10497D,158,,,
10498D,159,,,
10499D,160,,,
10601D,161,TUE,9:30,10:50
10601D,162,THU,9:30,10:50
38511R,163,TUE,12:30,13:50
38511R,164,THU,12:30,13:50
38515R,165,WED,9:00,10:50
38516R,166,MON,9:00,10:50
38517R,167,TUE,10:00,11:50
38518R,168,FRI,9:00,10:50
38522R,169,TUE,8:00,9:50
38528R,170,FRI,23:00,12:50
10704D,171,TUE,17:00,18:20
10704D,172,THU,17:00,18:20
10705R,173,TUE,8:00,8:50
10706R,174,TUE,9:00,9:50
10707R,175,TUE,13:00,13:50
10708R,176,TUE,14:00,14:50
10805D,177,TUE,10:00,11:20
10805D,178,THU,10:00,11:20
10769D,179,MON,15:30,16:50
10769D,180,WED,15:30,16:50
10651R,181,MON,17:00,18:20
10651R,182,WED,17:00,18:20
10608D,183,MON,8:30,9:50
10608D,184,WED,8:30,9:50
10609R,185,MON,10:00,10:50
10610R,186,MON,11:00,11:50
10611R,187,WED,10:00,10:50
10612D,188,WED,11:00,11:50
10710D,189,TUE,9:30,10:50
10710D,190,THU,9:30,10:50
10711R,191,TUE,11:00,11:50
10712R,192,TUE,13:00,13:50
10713R,193,THU,11:00,11:50
10714R,194,THU,13:00,13:50
38531R,195,MON,15:30,16:50
38531R,196,WED,15:30,16:50
10617D,197,TUE,14:00,15:20
10617D,198,THU,14:00,15:20
10619R,199,MON,9:00,9:50
10620R,200,MON,10:00,10:50
10621R,201,MON,14:00,14:50
10622D,202,MON,11:00,11:50
60061R,203,WED,12:00,14:50
10623R,204,THU,13:00,15:50
10775R,205,WED,13:00,15:50
10626R,206,TUE,12:30,13:50
10626R,207,THU,12:30,13:50
10827R,208,TUE,10:00,10:50
10828R,209,TUE,11:00,11:50
10829R,210,THU,10:00,10:50
10830R,211,THU,11:00,11:50
10774D,212,TUE,23:00,12:20
10774D,213,THU,23:00,12:20
10686D,214,TUE,12:30,13:50
